,animal,session,d',learning phase
0,BS_108,1,0.10547308215092022,pre early
1,BS_108,2,0.01063494689106037,pre early
2,BS_108,3,0.42674175836952055,pre early
3,BS_108,4,1.181953692631149,pre late
4,BS_108,5,2.038787934535881,pre expert
5,BS_108,6,2.3021224582507482,pre expert
6,BS_108,7,-1.0224656121109117,switch
7,BS_108,8,-0.5908489320558843,post early
8,BS_108,9,-0.08570874186579064,post early
9,BS_108,10,-0.22906478311918455,post early
10,BS_108,11,0.259121000413015,post late
11,BS_108,12,0.5144199671422629,post late
12,BS_108,13,0.19019088158129294,post late
13,BS_108,14,0.4451895207845096,post late
14,BS_108,15,0.8541608996556471,post late
15,BS_108,16,1.6278511220764345,post expert
16,BS_108,17,2.6614628334995087,post expert
