,animal,learning phase,average d'
0,BS_40,pre early,0.1817650917766655
1,BS_40,pre late,0.5524468523723239
2,BS_40,pre expert,1.75068607125217
3,BS_40,post early,-0.29813156341369473
4,BS_40,post late,0.3898444169229705
5,BS_40,post expert,1.6365910169816509
6,BS_41,pre early,0.2963267033297048
7,BS_41,pre late,
8,BS_41,pre expert,2.030798499298092
9,BS_41,post early,-0.7218612414971093
10,BS_41,post late,0.1471558392499812
11,BS_41,post expert,1.9229444503282003
12,BS_42,pre early,0.1314391314134481
13,BS_42,pre late,0.9828663188904849
14,BS_42,pre expert,1.6319029450438869
15,BS_42,post early,0.37792595022355213
16,BS_42,post late,0.7159059915872378
17,BS_42,post expert,1.8232575076546031
18,BS_49,pre early,0.0857306794646328
19,BS_49,pre late,0.4270404571325896
20,BS_49,pre expert,1.7793328270957067
21,BS_49,post early,
22,BS_49,post late,0.051302052269951735
23,BS_49,post expert,1.5721088955828284
24,BS_50,pre early,0.0875873972826641
25,BS_50,pre late,0.4172225132568288
26,BS_50,pre expert,1.4652176544509794
27,BS_50,post early,
28,BS_50,post late,
29,BS_50,post expert,
30,BS_51,pre early,0.21082398574508074
31,BS_51,pre late,
32,BS_51,pre expert,1.8876496314140125
33,BS_51,post early,-0.07212180379376983
34,BS_51,post late,0.4380611276444398
35,BS_51,post expert,1.7454054590851742
36,BS_56,pre early,0.034694084721769505
37,BS_56,pre late,1.2154990921930546
38,BS_56,pre expert,2.2604974964258644
39,BS_56,post early,-0.01456905605098614
40,BS_56,post late,
41,BS_56,post expert,1.6883300359427946
42,BS_59,pre early,0.14813103268694353
43,BS_59,pre late,1.2933517760248756
44,BS_59,pre expert,1.8949021672512423
45,BS_59,post early,-0.0882593009360042
46,BS_59,post late,0.7733064737605856
47,BS_59,post expert,2.1241719864633923
48,BS_67,pre early,0.2804569268095434
49,BS_67,pre late,
50,BS_67,pre expert,1.775593373282697
51,BS_67,post early,-0.5418651502343699
52,BS_67,post late,0.25512523175381846
53,BS_67,post expert,1.9200777968902167
54,BS_70,pre early,0.018048317934721947
55,BS_70,pre late,1.286041054075907
56,BS_70,pre expert,2.3882249494027232
57,BS_70,post early,-0.2213130303987443
58,BS_70,post late,0.37877232185424986
59,BS_70,post expert,1.9457918755241324
60,BS_72,pre early,0.13467314960172155
61,BS_72,pre late,
62,BS_72,pre expert,2.2729786695616068
63,BS_72,post early,-0.21241968256205068
64,BS_72,post late,0.37296506677414953
65,BS_72,post expert,2.0805116878111574
66,BS_87,pre early,0.06326054917403019
67,BS_87,pre late,0.6940187025746629
68,BS_87,pre expert,1.7987534074888898
69,BS_87,post early,-0.1520344197516369
70,BS_87,post late,0.5546824195063562
71,BS_87,post expert,1.8503292313887845
72,BS_108,pre early,0.18094992913716704
73,BS_108,pre late,1.181953692631149
74,BS_108,pre expert,2.1704551963933145
75,BS_108,post early,-0.3018741523469532
76,BS_108,post late,0.4526164539153455
77,BS_108,post expert,2.144656977787972
78,DS_15,pre early,0.10765998504795714
79,DS_15,pre late,0.8956953686592591
80,DS_15,pre expert,1.5429254449065075
81,DS_15,post early,-0.020479725385678327
82,DS_15,post late,0.5965985345614991
83,DS_15,post expert,1.7518792508804795
84,DS_19,pre early,-0.007037413872174436
85,DS_19,pre late,0.5291550021740763
86,DS_19,pre expert,1.5790961600638345
87,DS_19,post early,0.042464539857946564
88,DS_19,post late,0.6392306268247556
89,DS_19,post expert,2.3045935085255014
