,animal,session,cluster ID,learning phase,FR modulation
0,BS_72,BS_72_12_AC.pickle,22,post late,2.683615819209039
1,BS_72,BS_72_12_AC.pickle,25,post late,1.7564870259481034
2,BS_42,BS_42_9_AC.pickle,9,post expert,0.5352798053527981
3,BS_42,BS_42_9_AC.pickle,32,post expert,3.1630170316301696
4,DS_15,DS_15_15_AC.pickle,0,post expert,3.9393939393939403
5,DS_15,DS_15_15_AC.pickle,6,post expert,30.688705234159762
6,DS_15,DS_15_15_AC.pickle,7,post expert,2.033333333333335
7,DS_15,DS_15_15_AC.pickle,10,post expert,3.3884297520661173
8,DS_15,DS_15_15_AC.pickle,12,post expert,8.870523415977955
9,DS_15,DS_15_15_AC.pickle,19,post expert,6.143250688705235
10,DS_15,DS_15_15_AC.pickle,28,post expert,2.6446280991735525
11,DS_15,DS_15_15_AC.pickle,29,post expert,3.2782369146005497
12,DS_15,DS_15_15_AC.pickle,36,post expert,3.608815426997243
13,DS_15,DS_15_15_AC.pickle,41,post expert,0.9366391184573009
14,DS_15,DS_15_15_AC.pickle,45,post expert,1.3223140495867773
15,DS_15,DS_15_15_AC.pickle,46,post expert,1.460055096418733
16,DS_15,DS_15_15_AC.pickle,57,post expert,0.9366391184572997
17,DS_15,DS_15_15_AC.pickle,66,post expert,6.363636363636362
18,DS_15,DS_15_15_AC.pickle,77,post expert,2.0110192837465553
19,DS_15,DS_15_15_AC.pickle,78,post expert,5.344352617079895
20,DS_15,DS_15_15_AC.pickle,81,post expert,9.201101928374657
21,DS_15,DS_15_15_AC.pickle,86,post expert,5.013774104683197
22,DS_15,DS_15_15_AC.pickle,88,post expert,3.0303030303030316
23,DS_15,DS_15_15_AC.pickle,91,post expert,1.2396694214876032
24,DS_15,DS_15_15_AC.pickle,101,post expert,1.0192837465564741
25,DS_15,DS_15_15_AC.pickle,111,post expert,1.9283746556473833
26,DS_15,DS_15_15_AC.pickle,113,post expert,12.28650137741047
27,DS_15,DS_15_15_AC.pickle,114,post expert,2.066666666666668
28,DS_15,DS_15_15_AC.pickle,122,post expert,
29,DS_15,DS_15_15_AC.pickle,123,post expert,1.570247933884298
30,DS_15,DS_15_15_AC.pickle,128,post expert,0.6611570247933887
31,DS_15,DS_15_15_AC.pickle,134,post expert,1.322314049586777
32,BS_42,BS_42_6_AC.pickle,0,post late,0.9263477600607436
33,BS_42,BS_42_6_AC.pickle,7,post late,3.975757575757578
34,BS_42,BS_42_6_AC.pickle,8,post late,6.069651741293537
35,BS_42,BS_42_6_AC.pickle,9,post late,0.9794628751974719
36,BS_42,BS_42_6_AC.pickle,18,post late,4.0
37,BS_42,BS_42_6_AC.pickle,21,post late,7.207977207977202
38,BS_42,BS_42_6_AC.pickle,22,post late,7.677777777777777
39,BS_42,BS_42_6_AC.pickle,26,post late,13.411111111111072
40,BS_42,BS_42_6_AC.pickle,36,post late,1.3502109704641365
41,BS_42,BS_42_6_AC.pickle,47,post late,3.92452830188679
42,BS_42,BS_42_6_AC.pickle,48,post late,6.8777777777777915
43,BS_42,BS_42_6_AC.pickle,49,post late,5.702527924750152
44,BS_42,BS_42_6_AC.pickle,51,post late,26.352324819908343
45,BS_42,BS_42_6_AC.pickle,52,post late,0.7524059492563433
46,BS_42,BS_42_6_AC.pickle,62,post late,1.9999999999999996
47,BS_42,BS_42_6_AC.pickle,65,post late,2.5860023724792405
