,animal,session,cluster ID,learning phase,FR modulation
0,BS_42,BS_42_9_AC.pickle,32,post expert,3.1630170316301696
1,DS_15,DS_15_15_AC.pickle,0,post expert,3.9393939393939403
2,DS_15,DS_15_15_AC.pickle,6,post expert,30.688705234159762
3,DS_15,DS_15_15_AC.pickle,7,post expert,2.033333333333335
4,DS_15,DS_15_15_AC.pickle,10,post expert,3.3884297520661173
5,DS_15,DS_15_15_AC.pickle,12,post expert,8.870523415977955
6,DS_15,DS_15_15_AC.pickle,28,post expert,2.6446280991735525
7,DS_15,DS_15_15_AC.pickle,29,post expert,3.2782369146005497
8,DS_15,DS_15_15_AC.pickle,36,post expert,3.608815426997243
9,DS_15,DS_15_15_AC.pickle,46,post expert,1.460055096418733
10,DS_15,DS_15_15_AC.pickle,66,post expert,6.363636363636362
11,DS_15,DS_15_15_AC.pickle,78,post expert,5.344352617079895
12,DS_15,DS_15_15_AC.pickle,88,post expert,3.0303030303030316
13,DS_15,DS_15_15_AC.pickle,111,post expert,1.9283746556473833
14,DS_15,DS_15_15_AC.pickle,113,post expert,12.28650137741047
15,BS_42,BS_42_6_AC.pickle,26,post late,13.411111111111072
16,BS_42,BS_42_6_AC.pickle,48,post late,6.8777777777777915
17,BS_42,BS_42_6_AC.pickle,76,post late,0.26402640264026406
18,BS_49,BS_49_4_AC.pickle,9,pre early,27.799999999999997
19,BS_49,BS_49_4_AC.pickle,14,pre early,18.933333333333323
20,BS_49,BS_49_4_AC.pickle,16,pre early,13.533333333333333
21,BS_49,BS_49_4_AC.pickle,27,pre early,13.533333333333328
22,BS_49,BS_49_4_AC.pickle,28,pre early,1.4
23,BS_49,BS_49_4_AC.pickle,35,pre early,29.000000000000004
24,BS_49,BS_49_4_AC.pickle,36,pre early,5.9333333333333345
25,BS_49,BS_49_4_AC.pickle,45,pre early,17.599999999999994
26,BS_49,BS_49_4_AC.pickle,46,pre early,22.866666666666656
27,BS_49,BS_49_4_AC.pickle,53,pre early,34.66666666666667
28,BS_49,BS_49_4_AC.pickle,55,pre early,3.066666666666667
29,BS_49,BS_49_4_AC.pickle,56,pre early,16.20000000000001
30,BS_49,BS_49_4_AC.pickle,68,pre early,16.199999999999992
31,BS_49,BS_49_4_AC.pickle,71,pre early,2.4000000000000004
32,BS_49,BS_49_4_AC.pickle,73,pre early,12.4
33,BS_70,BS_70_11_AC.pickle,14,post late,2.55208333333333
34,BS_70,BS_70_11_AC.pickle,18,post late,1.3888888888888886
35,BS_70,BS_70_11_AC.pickle,24,post late,0.8536585365853661
36,BS_70,BS_70_11_AC.pickle,32,post late,3.802083333333332
37,BS_87,BS_87_2_AC.pickle,25,pre expert,28.447837150127228
