,animal,session,cluster ID,phase,condition,FR modulation
0,BS_108,BS_108_1_AC.pickle,2,pre expert,behaving,9.972451790633608
1,BS_108,BS_108_1_AC.pickle,8,pre expert,behaving,21.7741935483871
2,BS_108,BS_108_1_AC.pickle,9,pre expert,behaving,15.806451612903228
3,BS_108,BS_108_1_AC.pickle,34,pre expert,behaving,16.989247311827963
4,BS_108,BS_108_2_AC.pickle,2,pre expert,behaving,15.402298850574715
5,BS_108,BS_108_2_AC.pickle,7,pre expert,behaving,6.321839080459773
6,BS_108,BS_108_2_AC.pickle,26,pre expert,behaving,3.563218390804598
7,BS_108,BS_108_6_AC.pickle,2,post early,behaving,3.446969696969696
8,BS_108,BS_108_6_AC.pickle,9,post early,behaving,3.833333333333334
9,BS_108,BS_108_6_AC.pickle,33,post early,behaving,3.2600732600732596
10,BS_108,BS_108_6_AC.pickle,47,post early,behaving,15.825734549138806
11,BS_108,BS_108_6_AC.pickle,48,post early,behaving,9.593869731800776
12,BS_108,BS_108_6_AC.pickle,78,post early,behaving,1.313432835820895
13,BS_108,BS_108_6_AC.pickle,79,post early,behaving,0.9201388888888884
14,BS_108,BS_108_6_AC.pickle,126,post early,behaving,16.727272727272727
15,BS_108,BS_108_6_AC.pickle,133,post early,behaving,6.099616858237546
16,BS_40,BS_40_10_AC.pickle,5,pre late,behaving,5.855555555555559
17,BS_40,BS_40_10_AC.pickle,12,pre late,behaving,1.2222222222222237
18,BS_40,BS_40_12_AC.pickle,2,pre expert,behaving,3.647798742138366
19,BS_40,BS_40_12_AC.pickle,29,pre expert,behaving,2.767295597484277
20,BS_40,BS_40_12_AC.pickle,52,pre expert,behaving,7.169811320754717
21,BS_40,BS_40_12_AC.pickle,56,pre expert,behaving,4.528301886792454
22,BS_40,BS_40_15_AC.pickle,0,post early,behaving,1.2209302325581386
23,BS_40,BS_40_16_AC.pickle,21,post early,behaving,27.48508098891727
24,BS_40,BS_40_16_AC.pickle,35,post early,behaving,21.605691056910562
25,BS_40,BS_40_2_AC.pickle,61,pre late,behaving,14.625850340136058
26,BS_40,BS_40_2_AC.pickle,66,pre late,behaving,8.231292517006809
27,BS_40,BS_40_2_AC.pickle,67,pre late,behaving,6.484848484848485
28,BS_40,BS_40_2_AC.pickle,103,pre late,behaving,18.82653061224488
29,BS_40,BS_40_2_AC.pickle,115,pre late,behaving,10.26365348399247
30,BS_40,BS_40_2_AC.pickle,122,pre late,behaving,2.857142857142857
31,BS_40,BS_40_2_AC.pickle,153,pre late,behaving,7.579365079365079
32,BS_40,BS_40_2_AC.pickle,166,pre late,behaving,1.7176870748299329
33,BS_40,BS_40_2_AC.pickle,194,pre late,behaving,11.326530612244886
34,BS_40,BS_40_2_AC.pickle,195,pre late,behaving,10.850340136054427
35,BS_40,BS_40_2_AC.pickle,201,pre late,behaving,3.0442176870748288
36,BS_40,BS_40_2_AC.pickle,206,pre late,behaving,8.588435374149663
37,BS_40,BS_40_2_AC.pickle,222,pre late,behaving,1.5257048092868986
38,BS_40,BS_40_2_AC.pickle,225,pre late,behaving,28.21428571428572
39,BS_40,BS_40_2_AC.pickle,231,pre late,behaving,2.857142857142857
40,BS_40,BS_40_3_AC.pickle,14,pre late,behaving,11.430745814307462
41,BS_40,BS_40_3_AC.pickle,15,pre late,behaving,14.961948249619475
42,BS_40,BS_40_3_AC.pickle,33,pre late,behaving,2.5665101721439747
43,BS_40,BS_40_3_AC.pickle,36,pre late,behaving,1.6151202749140892
44,BS_40,BS_40_3_AC.pickle,57,pre late,behaving,13.850837138508362
45,BS_40,BS_40_3_AC.pickle,76,pre late,behaving,1.1886304909560725
46,BS_40,BS_40_3_AC.pickle,81,pre late,behaving,3.8051750380517504
47,BS_40,BS_40_3_AC.pickle,114,pre late,behaving,15.34936998854525
48,BS_40,BS_40_3_AC.pickle,151,pre late,behaving,1.4840182648401823
49,BS_40,BS_40_3_AC.pickle,155,pre late,behaving,16.910197869101975
50,BS_40,BS_40_4_AC.pickle,18,pre late,behaving,18.91472868217054
51,BS_40,BS_40_4_AC.pickle,29,pre late,behaving,7.160000000000004
52,BS_40,BS_40_6_AC.pickle,7,pre late,behaving,1.8697829716193657
53,BS_40,BS_40_6_AC.pickle,11,pre late,behaving,2.370617696160264
54,BS_40,BS_40_6_AC.pickle,15,pre late,behaving,15.859766277128557
55,BS_40,BS_40_6_AC.pickle,27,pre late,behaving,1.8809126321647172
56,BS_40,BS_40_7_AC.pickle,36,pre late,behaving,1.602288984263233
57,BS_40,BS_40_8_AC.pickle,44,pre late,behaving,0.9642560266001666
58,BS_41,BS_41_2_AC.pickle,23,post early,behaving,1.5532286212914481
59,BS_41,BS_41_2_AC.pickle,52,post early,behaving,27.225130890052355
60,BS_41,BS_41_2_AC.pickle,55,post early,behaving,5.543478260869565
61,BS_41,BS_41_2_AC.pickle,155,post early,behaving,2.494004796163069
62,BS_41,BS_41_2_AC.pickle,236,post early,behaving,5.222222222222222
63,BS_41,BS_41_4_AC.pickle,6,post late,behaving,6.8956743002544485
64,BS_41,BS_41_4_AC.pickle,19,post late,behaving,14.96183206106869
65,BS_41,BS_41_4_AC.pickle,20,post late,behaving,3.1424936386768474
66,BS_41,BS_41_4_AC.pickle,57,post late,behaving,12.60814249363868
67,BS_41,BS_41_4_AC.pickle,64,post late,behaving,5.343511450381697
68,BS_41,BS_41_4_AC.pickle,66,post late,behaving,4.147582697201017
69,BS_41,BS_41_4_AC.pickle,84,post late,behaving,1.4376590330788803
70,BS_41,BS_41_4_AC.pickle,95,post late,behaving,2.4300254452926198
71,BS_41,BS_41_4_AC.pickle,97,post late,behaving,0.512820512820513
72,BS_41,BS_41_4_AC.pickle,100,post late,behaving,0.9629629629629626
73,BS_41,BS_41_4_AC.pickle,101,post late,behaving,7.137404580152674
74,BS_41,BS_41_4_AC.pickle,115,post late,behaving,6.22137404580154
75,BS_41,BS_41_4_AC.pickle,117,post late,behaving,9.707379134860044
76,BS_41,BS_41_4_AC.pickle,119,post late,behaving,3.3842239185750564
77,BS_41,BS_41_5_AC.pickle,13,post late,behaving,7.492354740061158
78,BS_41,BS_41_5_AC.pickle,15,post late,behaving,2.587064676616916
79,BS_41,BS_41_5_AC.pickle,68,post late,behaving,2.9226361031518597
80,BS_41,BS_41_6_AC.pickle,3,post late,behaving,12.114093959731518
81,BS_41,BS_41_6_AC.pickle,6,post late,behaving,0.5591397849462366
82,BS_41,BS_41_6_AC.pickle,7,post late,behaving,7.483221476510067
83,BS_41,BS_41_6_AC.pickle,32,post late,behaving,1.4100185528756946
84,BS_41,BS_41_7_AC.pickle,0,post late,behaving,2.011494252873561
85,BS_41,BS_41_7_AC.pickle,50,post late,behaving,1.3308913308913324
86,BS_41,BS_41_7_AC.pickle,55,post late,behaving,1.3218390804597726
87,BS_41,BS_41_7_AC.pickle,63,post late,behaving,1.6781609195402274
88,BS_41,BS_41_7_AC.pickle,64,post late,behaving,3.9080459770115
89,BS_41,BS_41_7_AC.pickle,73,post late,behaving,0.6226271829916474
90,BS_41,BS_41_7_AC.pickle,81,post late,behaving,0.5865522174535049
91,BS_41,BS_41_8_AC.pickle,13,post late,behaving,3.138173302107734
92,BS_41,BS_41_8_AC.pickle,58,post late,behaving,1.616161616161617
93,BS_41,BS_41_8_AC.pickle,60,post late,behaving,11.086142322097386
94,BS_41,BS_41_8_AC.pickle,61,post late,behaving,10.087719298245611
95,BS_41,BS_41_8_AC.pickle,66,post late,behaving,0.720000000000001
96,BS_41,BS_41_8_AC.pickle,67,post late,behaving,1.5677321156773214
97,BS_41,BS_41_8_AC.pickle,72,post late,behaving,1.6720257234726674
98,BS_41,BS_41_8_AC.pickle,77,post late,behaving,7.253333333333332
99,BS_41,BS_41_8_AC.pickle,82,post late,behaving,4.712371946414507
100,BS_41,BS_41_9_AC.pickle,24,post late,behaving,2.9457364341085293
101,BS_41,BS_41_9_AC.pickle,37,post late,behaving,20.890493381468115
102,BS_41,BS_41_9_AC.pickle,101,post late,behaving,1.4555555555555566
103,BS_41,BS_41_9_AC.pickle,109,post late,behaving,3.5777777777777753
104,BS_42,BS_42_10_AC.pickle,8,post expert,behaving,4.253393665158373
105,BS_42,BS_42_10_AC.pickle,10,post expert,behaving,4.645550527903469
106,BS_42,BS_42_10_AC.pickle,18,post expert,behaving,2.9141716566866256
107,BS_42,BS_42_10_AC.pickle,26,post expert,behaving,15.656108597285073
108,BS_42,BS_42_11_AC.pickle,44,post expert,behaving,41.99513381995131
109,BS_42,BS_42_2_AC.pickle,8,post early,behaving,26.400000000000002
110,BS_42,BS_42_2_AC.pickle,9,post early,behaving,3.727422003284073
111,BS_42,BS_42_2_AC.pickle,12,post early,behaving,17.21333333333333
112,BS_42,BS_42_2_AC.pickle,14,post early,behaving,50.14666666666665
113,BS_42,BS_42_2_AC.pickle,15,post early,behaving,2.0800000000000036
114,BS_42,BS_42_2_AC.pickle,16,post early,behaving,65.78666666666653
115,BS_42,BS_42_2_AC.pickle,54,post early,behaving,16.600000000000005
116,BS_42,BS_42_2_AC.pickle,61,post early,behaving,8.893333333333334
117,BS_42,BS_42_2_AC.pickle,62,post early,behaving,4.186666666666664
118,BS_42,BS_42_2_AC.pickle,64,post early,behaving,6.693333333333342
119,BS_42,BS_42_2_AC.pickle,82,post early,behaving,19.83999999999999
120,BS_42,BS_42_2_AC.pickle,85,post early,behaving,47.17333333333328
121,BS_42,BS_42_2_AC.pickle,86,post early,behaving,22.45333333333335
122,BS_42,BS_42_2_AC.pickle,131,post early,behaving,1.3199999999999996
123,BS_42,BS_42_3_AC.pickle,26,post early,behaving,2.0333333333333306
124,BS_42,BS_42_3_AC.pickle,27,post early,behaving,1.9455252918287929
125,BS_42,BS_42_3_AC.pickle,47,post early,behaving,2.103448275862068
126,BS_42,BS_42_3_AC.pickle,56,post early,behaving,5.7333333333333405
127,BS_42,BS_42_3_AC.pickle,96,post early,behaving,14.34878587196468
128,BS_42,BS_42_3_AC.pickle,101,post early,behaving,0.8659793814432997
129,BS_42,BS_42_4_AC.pickle,36,post early,behaving,3.3274544385655545
130,BS_42,BS_42_4_AC.pickle,40,post early,behaving,42.947845804988646
131,BS_42,BS_42_4_AC.pickle,41,post early,behaving,38.7802313354363
132,BS_42,BS_42_4_AC.pickle,61,post early,behaving,8.874868559411139
133,BS_42,BS_42_4_AC.pickle,65,post early,behaving,2.660882140274765
134,BS_42,BS_42_5_AC.pickle,33,post early,behaving,23.386666666666667
135,BS_42,BS_42_6_AC.pickle,26,post late,behaving,13.411111111111072
136,BS_42,BS_42_6_AC.pickle,48,post late,behaving,6.8777777777777915
137,BS_42,BS_42_6_AC.pickle,76,post late,behaving,0.26402640264026406
138,BS_42,BS_42_7_AC.pickle,25,post late,behaving,3.076923076923086
139,BS_42,BS_42_7_AC.pickle,35,post late,behaving,3.4888888888888885
140,BS_42,BS_42_7_AC.pickle,42,post late,behaving,5.966666666666689
141,BS_42,BS_42_7_AC.pickle,46,post late,behaving,0.9000000000000008
142,BS_42,BS_42_7_AC.pickle,49,post late,behaving,0.8937198067632863
143,BS_42,BS_42_7_AC.pickle,52,post late,behaving,1.9835680751173703
144,BS_42,BS_42_7_AC.pickle,53,post late,behaving,0.5000000000000002
