,animal,session,cluster ID,learning phase,Stim decoding accuracy,FR modulation
0,BS_108,BS_108_1_AC.pickle,2,pre expert,0.565956218,9.972451790633608
1,BS_108,BS_108_1_AC.pickle,8,pre expert,0.720859295,21.7741935483871
2,BS_108,BS_108_1_AC.pickle,9,pre expert,0.560515438,15.806451612903228
3,BS_108,BS_108_1_AC.pickle,34,pre expert,0.641831651,16.989247311827963
4,BS_108,BS_108_2_AC.pickle,2,pre expert,0.570132168,15.402298850574715
5,BS_108,BS_108_2_AC.pickle,7,pre expert,0.621584347,6.321839080459773
6,BS_108,BS_108_2_AC.pickle,26,pre expert,0.568881958,3.563218390804598
7,BS_108,BS_108_3_AC.pickle,19,switch,0.563346933,25.753205128205124
8,BS_108,BS_108_3_AC.pickle,35,switch,0.635083467,0.8735632183908048
9,BS_108,BS_108_3_AC.pickle,44,switch,0.602560649,3.2030651340996164
10,BS_108,BS_108_3_AC.pickle,46,switch,0.869860001,16.884735202492212
11,BS_108,BS_108_3_AC.pickle,131,switch,0.588671869,8.413793103448285
12,BS_108,BS_108_3_AC.pickle,175,switch,0.605061182,20.74960127591706
13,BS_108,BS_108_3_AC.pickle,224,switch,0.572963056,3.923371647509574
14,BS_108,BS_108_3_AC.pickle,254,switch,0.618800115,12.015325670498077
15,BS_108,BS_108_3_AC.pickle,316,switch,0.564830565,2.406130268199238
16,BS_108,BS_108_3_AC.pickle,340,switch,0.581923342,1.4099616858237547
17,BS_108,BS_108_3_AC.pickle,362,switch,0.570456746,3.5759897828863374
18,BS_108,BS_108_6_AC.pickle,2,post early,0.654114463,3.446969696969696
19,BS_108,BS_108_6_AC.pickle,9,post early,0.638489691,3.833333333333334
20,BS_108,BS_108_6_AC.pickle,33,post early,0.563574515,3.2600732600732596
21,BS_108,BS_108_6_AC.pickle,47,post early,0.677367625,15.825734549138806
22,BS_108,BS_108_6_AC.pickle,48,post early,0.637075162,9.593869731800776
23,BS_108,BS_108_6_AC.pickle,78,post early,0.563893367,1.313432835820895
24,BS_108,BS_108_6_AC.pickle,79,post early,0.607929196,0.9201388888888884
25,BS_108,BS_108_6_AC.pickle,126,post early,0.743181818,16.727272727272727
26,BS_108,BS_108_6_AC.pickle,133,post early,0.595662485,6.099616858237546
27,BS_40,BS_40_10_AC.pickle,5,pre late,0.590702494,5.855555555555559
28,BS_40,BS_40_10_AC.pickle,12,pre late,0.572211898,1.2222222222222237
29,BS_40,BS_40_12_AC.pickle,2,pre expert,0.582994879,3.647798742138366
30,BS_40,BS_40_12_AC.pickle,29,pre expert,0.57134,2.767295597484277
31,BS_40,BS_40_12_AC.pickle,52,pre expert,0.573844058,7.169811320754717
32,BS_40,BS_40_12_AC.pickle,56,pre expert,0.718006618,4.528301886792454
33,BS_40,BS_40_15_AC.pickle,0,post early,0.564052,1.2209302325581386
34,BS_40,BS_40_16_AC.pickle,21,post early,0.59612182,27.48508098891727
35,BS_40,BS_40_16_AC.pickle,35,post early,0.65558298,21.605691056910562
36,BS_40,BS_40_2_AC.pickle,61,pre late,0.654878053,14.625850340136058
37,BS_40,BS_40_2_AC.pickle,66,pre late,0.581267813,8.231292517006809
38,BS_40,BS_40_2_AC.pickle,67,pre late,0.562483466,6.484848484848485
39,BS_40,BS_40_2_AC.pickle,103,pre late,0.641649624,18.82653061224488
40,BS_40,BS_40_2_AC.pickle,115,pre late,0.619029525,10.26365348399247
41,BS_40,BS_40_2_AC.pickle,122,pre late,0.607285714,2.857142857142857
