,animal,learning phase,hit rate,false alarm rate,go rate
0,BS_40,pre early,57.2462864620893,50.337638946711024,53.91370519445434
1,BS_40,pre late,70.4407531800953,50.51058502611707,60.72979591579367
2,BS_40,pre expert,50.0,0.0,28.30188679245283
3,BS_40,post early,72.59562054571033,78.59560170024585,75.52301554767706
4,BS_40,post late,84.75395027174315,77.20457703216324,81.09124954329558
5,BS_40,post expert,65.50355774493705,23.187717632162077,45.19104084321475
6,BS_41,pre early,84.74562798092211,76.49306892568347,80.70967741935485
7,BS_41,pre late,,,
8,BS_41,pre expert,99.05660377358491,56.37268683385188,78.2035967662102
9,BS_41,post early,32.84313725490196,61.23595505617978,46.07329842931937
10,BS_41,post late,84.73335269255655,83.28574538788962,84.03108493324436
11,BS_41,post expert,98.01980198019803,48.80952380952381,75.67567567567568
12,BS_42,pre early,79.65686274509804,76.03857981548785,77.88333333333334
13,BS_42,pre late,86.39355525021054,55.02034941433393,71.15875805506737
14,BS_42,pre expert,72.16368537123253,22.810405129699795,48.58333333333333
15,BS_42,post early,90.26607310081947,81.58379998609449,86.06161417322834
16,BS_42,post late,93.02155295915445,81.63818111914998,87.47222222222223
17,BS_42,post expert,91.00245212722146,43.7150062470349,67.93358191735244
18,BS_49,pre early,38.202599955984475,34.85325376782357,36.59687948103467
19,BS_49,pre late,63.40189851060686,50.96363828094293,57.55820397271488
20,BS_49,pre expert,79.31893687707641,14.749587231700605,49.21568627450981
21,BS_49,post early,,,
22,BS_49,post late,82.3258998886239,87.00072743755008,84.5179104477612
23,BS_49,post expert,51.61290322580645,3.3333333333333335,27.86885245901639
24,BS_50,pre early,69.78620024630962,67.01226584305877,68.44826457957973
25,BS_50,pre late,83.11595620661907,72.51189225472463,78.15034314348694
26,BS_50,pre expert,90.87643678160919,43.31730769230769,68.21320861925784
27,BS_50,post early,,,
28,BS_50,post late,,,
29,BS_50,post expert,,,
30,BS_51,pre early,75.96600722258486,69.39830499632959,72.8128962410797
31,BS_51,pre late,,,
32,BS_51,pre expert,100.0,43.23979591836735,74.2063492063492
33,BS_51,post early,77.1056766121075,79.22948216477631,78.12842348297262
34,BS_51,post late,83.92197233660649,71.84620836286322,78.235771557873
35,BS_51,post expert,87.28910676768321,36.75019894544033,62.65266991073443
