,session,cluster,phase,mean_hit,mean_miss,ps_hm,mean_go,mean_nogo,ps_tot,mean_falarm,mean_creject,ps_fc
0,BS_49_10_AC.pickle,12,pre late,0.0125,0.013953488372093023,0.8528433764363054,0.00915032679738562,0.011827956989247313,0.576883947969193,0.004615384615384616,0.01,0.3220951549985302
1,DS_19_14_AC.pickle,3,post expert,0.06771653543307087,0.02727272727272728,0.20353466411357132,0.06082474226804124,0.061538461538461535,0.9595355738642518,0.04776119402985075,0.06716417910447761,0.30269128932307837
2,DS_19_14_AC.pickle,15,post expert,0.02307692307692308,,,0.018518518518518517,0.025,0.7688723003937268,0.014285714285714287,0.025,0.6366503309123406
3,DS_19_14_AC.pickle,19,post expert,0.3377952755905511,0.11818181818181821,1.3498705438239015e-05,0.38247422680412363,0.3756410256410256,0.7575375889898736,0.4671641791044776,0.41791044776119396,0.04050898250575809
4,DS_19_14_AC.pickle,46,post expert,,,,,,,,,
5,DS_19_14_AC.pickle,47,post expert,0.18110236220472442,0.14545454545454548,0.4652092405521806,0.1479381443298969,0.09743589743589744,0.0050054257857145325,0.08507462686567166,0.08955223880597014,0.7757171913773168
6,DS_19_14_AC.pickle,51,post expert,0.0,,,0.03076923076923077,0.0,0.4242751973727486,0.06666666666666667,0.0,0.21412504160971293
7,DS_19_14_AC.pickle,52,post expert,0.0,,,0.020833333333333332,0.0,0.5743665688071381,0.041666666666666664,0.0,0.4274610754168879
8,DS_19_14_AC.pickle,58,post expert,0.07755102040816327,,,0.06860465116279069,0.020000000000000004,0.09469306490568367,0.05675675675675676,0.020000000000000004,0.18266164172709248
9,DS_19_14_AC.pickle,59,post expert,0.12727272727272732,,,0.0975,0.08333333333333333,0.7472502115702153,0.061111111111111116,0.08333333333333333,0.575255509863207
10,BS_49_1_AC.pickle,0,pre early,0.005882352941176471,0.005681818181818182,0.9532477044644246,0.0196078431372549,0.027878787878787878,0.225440934075008,0.03333333333333333,0.05324675324675325,0.1281999160764055
11,BS_49_1_AC.pickle,4,pre early,0.23137254901960788,0.18295454545454548,0.04276810206621365,0.1926470588235294,0.15151515151515152,0.01270262923528316,0.153921568627451,0.1155844155844156,0.07404105204215915
12,BS_49_1_AC.pickle,6,pre early,0.9745098039215685,1.1806818181818182,0.0008426631324377472,0.8397058823529412,0.9533333333333334,0.014201242800879445,0.7049019607843137,0.6935064935064934,0.8409044521466353
13,BS_49_1_AC.pickle,8,pre early,0.058823529411764705,0.04431818181818181,0.2181865939563933,0.045098039215686274,0.03636363636363636,0.28055250488434763,0.03137254901960785,0.027272727272727275,0.7056888379776747
14,BS_49_1_AC.pickle,10,pre early,0.253921568627451,0.2852272727272727,0.2238404538009968,0.25049019607843137,0.25393939393939396,0.8436150165467108,0.24705882352941183,0.2181818181818182,0.2153552485336527
15,BS_49_1_AC.pickle,11,pre early,0.13039215686274508,0.09090909090909091,0.023345262656649608,0.10735294117647058,0.07393939393939393,0.00571913047718993,0.08431372549019606,0.054545454545454536,0.06698007462367582
16,BS_49_1_AC.pickle,15,pre early,0.029411764705882353,0.02727272727272728,0.7814177964955894,0.03235294117647059,0.02787878787878788,0.48285798066345226,0.03529411764705883,0.028571428571428574,0.5163669048363838
17,BS_49_1_AC.pickle,23,pre early,0.12352941176470587,0.09886363636363636,0.313627922234176,0.08235294117647059,0.08424242424242423,0.8970947424255984,0.04117647058823529,0.06753246753246754,0.055838300632771114
18,BS_49_1_AC.pickle,24,pre early,0.28039215686274516,0.3068181818181818,0.6367281122973433,0.21960784313725493,0.25636363636363635,0.3730805015252407,0.15882352941176472,0.19870129870129874,0.5068369241611788
19,BS_49_1_AC.pickle,29,pre early,0.09076923076923077,0.05844155844155844,0.07849128533050799,0.07407407407407407,0.05448275862068966,0.13024680982974676,0.05857142857142858,0.04999999999999999,0.6390720663534226
20,BS_49_1_AC.pickle,33,pre early,0.00980392156862745,0.010227272727272729,0.9339294992919004,0.010294117647058822,0.010909090909090908,0.8937480118554989,0.010784313725490198,0.011688311688311689,0.9083583182499537
21,BS_49_1_AC.pickle,34,pre early,0.06960784313725489,0.1,0.014802850513103375,0.061274509803921566,0.08121212121212121,0.030348387483960067,0.05294117647058823,0.05974025974025973,0.6105600173221405
22,BS_49_1_AC.pickle,37,pre early,0.03333333333333333,0.034375,0.935610364080159,0.027439024390243903,0.026000000000000002,0.8754188032910964,0.022093023255813953,0.011111111111111112,0.40848746649824536
23,BS_49_1_AC.pickle,46,pre early,0.10784313725490197,0.09772727272727275,0.5560787530485481,0.09313725490196079,0.08424242424242423,0.44693741557828226,0.07843137254901959,0.06883116883116881,0.5377632400820669
