,animal,session,cluster ID,category,condition,FRmod laser off,percent change in FRmod laser on
0,BS_119,BS_119_2_opto_AC.pickle,12,CR,opto,1.9047619047619047,9.19117647058825
1,BS_119,BS_119_2_opto_AC.pickle,16,CR,opto,6.203304597701151,6.637424353449332
2,BS_119,BS_119_2_opto_AC.pickle,22,CR,opto,2.895114942528736,-19.37899382946488
3,BS_119,BS_119_2_opto_AC.pickle,50,CR,opto,2.5897988505747125,9.773790089968456
4,BS_119,BS_119_2_opto_AC.pickle,53,CR,opto,2.9274425287356327,-8.807209946251147
5,BS_119,BS_119_2_opto_AC.pickle,61,NCR,opto,1.5229885057471262,-19.861412589747825
6,BS_119,BS_119_2_opto_AC.pickle,65,NCR,opto,1.3577586206896552,63.215807463595006
7,BS_119,BS_119_2_opto_AC.pickle,67,NCR,opto,1.4853395061728392,-0.10769718086789548
8,BS_119,BS_119_2_opto_AC.pickle,70,CR,opto,2.0657894736842097,-39.04222694031608
9,BS_119,BS_119_2_opto_AC.pickle,79,CR,opto,3.426724137931031,0.3951689207993074
10,BS_119,BS_119_2_opto_AC.pickle,91,CR,opto,2.6113505747126435,4.914121556645712
11,BS_119,BS_119_2_opto_AC.pickle,106,CR,opto,12.112068965517244,-37.71297200264543
12,BS_119,BS_119_2_opto_AC.pickle,129,CR,opto,9.149543378995435,-9.311113091524838
13,BS_119,BS_119_2_opto_AC.pickle,130,CR,opto,3.4159482758620694,-34.477913328308425
14,BS_119,BS_119_2_opto_AC.pickle,131,CR,opto,3.491379310344827,109.7454386539932
15,BS_119,BS_119_2_opto_AC.pickle,140,NCR,opto,1.2571839080459766,33.74462705436168
16,BS_119,BS_119_2_opto_AC.pickle,161,NCR,opto,1.2499999999999998,-25.92592592592592
17,BS_119,BS_119_2_opto_AC.pickle,163,CR,opto,6.871408045977008,28.680800669846384
18,BS_119,BS_119_2_opto_AC.pickle,173,CR,opto,2.151580459770116,58.00966212123443
19,BS_119,BS_119_2_opto_AC.pickle,176,NCR,opto,0.9309309309309309,138.70967741935482
20,BS_119,BS_119_2_opto_AC.pickle,189,CR,opto,6.943247126436775,27.402496921196338
21,BS_119,BS_119_3_opto_AC.pickle,10,CR,opto,3.6527777777777777,16.269761857114272
22,BS_119,BS_119_3_opto_AC.pickle,38,CR,opto,9.061771561771558,-7.907211759301713
23,BS_119,BS_119_3_opto_AC.pickle,102,CR,opto,3.3857808857808847,-2.252274403737333
24,BS_119,BS_119_3_opto_AC.pickle,120,CR,opto,2.441724941724942,-30.035799522672963
25,BS_119,BS_119_4_opto_AC.pickle,115,NCR,opto,0.7686084142394823,85.56680161943314
26,BS_119,BS_119_5_opto_AC.pickle,18,CR,opto,6.526881720430108,5.0821227097997825
27,BS_119,BS_119_5_opto_AC.pickle,39,CR,opto,3.666666666666665,38.20638820638831
28,BS_119,BS_119_5_opto_AC.pickle,60,CR,opto,5.870967741935483,-24.211899211899226
29,BS_119,BS_119_5_opto_AC.pickle,86,CR,opto,1.9892473118279557,8.411138411138484
30,BS_119,BS_119_6_opto_AC.pickle,10,CR,opto,4.728773584905663,-6.499726504119678
31,BS_119,BS_119_6_opto_AC.pickle,13,CR,opto,11.72562893081761,5.352090168988767
32,BS_119,BS_119_6_opto_AC.pickle,15,CR,opto,1.9143081761006286,5.333489376642471
33,BS_119,BS_119_6_opto_AC.pickle,19,CR,opto,3.604559748427671,-46.45526920968914
34,BS_119,BS_119_6_opto_AC.pickle,39,NCR,opto,0.9158805031446542,-51.913540438969065
35,BS_119,BS_119_6_opto_AC.pickle,40,CR,opto,6.588050314465409,-2.607985952242618
36,BS_119,BS_119_6_opto_AC.pickle,43,NCR,opto,1.2146226415094343,54.63554504753761
37,BS_119,BS_119_6_opto_AC.pickle,45,CR,opto,17.979559748427665,-13.161799855456985
38,BS_119,BS_119_6_opto_AC.pickle,65,CR,opto,3.026729559748427,-1.9958280061907026
39,BS_119,BS_119_6_opto_AC.pickle,72,CR,opto,4.477777777777778,-16.100557295692138
40,BS_119,BS_119_6_opto_AC.pickle,74,NCR,opto,1.5723270440251573,-32.44559585492215
41,BS_123,BS_123_2_opto_AC.pickle,75,NCR,opto,1.5257648953301133,89.93082792555086
42,BS_123,BS_123_2_opto_AC.pickle,79,NCR,opto,1.2439613526570048,64.75990553660458
43,BS_123,BS_123_2_opto_AC.pickle,83,NCR,opto,0.7890499194847022,268.2156646442364
44,BS_123,BS_123_2_opto_AC.pickle,91,NCR,opto,1.3888888888888882,-29.459459459459392
45,BS_123,BS_123_2_opto_AC.pickle,93,NCR,opto,1.0386473429951693,-6.756756756756784
46,BS_123,BS_123_2_opto_AC.pickle,94,CR,opto,2.194041867954911,400.9471857178282
47,BS_123,BS_123_2_opto_AC.pickle,101,NCR,opto,0.9821428571428571,227.72727272727263
48,BS_123,BS_123_2_opto_AC.pickle,107,NCR,opto,0.8333333333333331,54.76190476190467
49,BS_123,BS_123_2_opto_AC.pickle,108,CR,opto,1.875,-40.91503267973856
50,BS_123,BS_123_3_opto_AC.pickle,39,NCR,opto,0.49999999999999994,295.34883720930225
51,BS_123,BS_123_3_opto_AC.pickle,64,CR,opto,2.074340527577938,123.69285338938525
52,BS_123,BS_123_3_opto_AC.pickle,85,CR,opto,13.373737373737379,-18.353474320241702
53,BS_123,BS_123_3_opto_AC.pickle,87,NCR,opto,1.6616161616161613,106.99088145896654
54,BS_123,BS_123_3_opto_AC.pickle,88,NCR,opto,0.8080808080808083,178.7499999999999
55,BS_123,BS_123_3_opto_AC.pickle,89,NCR,opto,1.3383838383838385,-20.37735849056602
56,BS_123,BS_123_3_opto_AC.pickle,90,NCR,opto,0.46783625730994155,147.82608695652175
57,BS_123,BS_123_3_opto_AC.pickle,98,NCR,opto,1.5151515151515156,208.3333333333332
58,BS_123,BS_123_3_opto_AC.pickle,112,CR,opto,3.227699530516431,187.0599326599327
59,BS_123,BS_123_3_opto_AC.pickle,128,NCR,opto,0.6699346405228758,52.27081581160641
60,BS_123,BS_123_3_opto_AC.pickle,159,NCR,opto,1.7226368159203982,-5.124114963758995
61,BS_123,BS_123_3_opto_AC.pickle,161,NCR,opto,1.2474747474747474,-27.935222672064775
62,BS_123,BS_123_3_opto_AC.pickle,163,NCR,opto,1.1565656565656577,113.9737991266374
63,BS_123,BS_123_3_opto_AC.pickle,167,NCR,opto,1.5340909090909094,94.55782312925166
64,BS_123,BS_123_3_opto_AC.pickle,181,CR,opto,2.9078014184397167,-52.013613159387404
65,BS_123,BS_123_3_opto_AC.pickle,182,CR,opto,7.8686868686868685,4.557124518613624
66,BS_123,BS_123_3_opto_AC.pickle,187,CR,opto,4.651515151515151,13.89793702497287
67,BS_123,BS_123_4_opto_AC.pickle,36,CR,opto,2.1595744680851077,-7.6647900539526805
68,BS_123,BS_123_4_opto_AC.pickle,38,CR,opto,1.9904458598726111,105.64696016771498
69,BS_123,BS_123_4_opto_AC.pickle,73,CR,opto,15.56382978723405,196.4701729974284
70,BS_123,BS_123_5_opto_AC.pickle,12,NCR,opto,1.4790897908979086,-32.60754837677912
71,BS_123,BS_123_5_opto_AC.pickle,35,CR,opto,2.181008902077152,3.8834916288135313
72,BS_123,BS_123_5_opto_AC.pickle,37,CR,opto,1.931256181998023,66.67130286803597
73,BS_123,BS_123_5_opto_AC.pickle,38,NCR,opto,0.22239263803680986,334.0730624786615
74,BS_123,BS_123_5_opto_AC.pickle,48,NCR,opto,0.893719806763285,397.7986050566696
75,BS_123,BS_123_5_opto_AC.pickle,52,NCR,opto,0.6776556776556779,7.019722425127761
76,BS_123,BS_123_5_opto_AC.pickle,58,NCR,opto,1.5896118721461177,35.04800562017032
77,BS_123,BS_123_5_opto_AC.pickle,73,NCR,opto,1.4441147378832846,142.62112127445377
78,BS_123,BS_123_5_opto_AC.pickle,74,NCR,opto,0.7786885245901637,-70.33548784241307
79,BS_123,BS_123_5_opto_AC.pickle,80,NCR,opto,0.47578828828828823,305.9678782755704
80,BS_123,BS_123_5_opto_AC.pickle,87,NCR,opto,0.3469640644361835,43.920233463035025
81,BS_123,BS_123_5_opto_AC.pickle,96,NCR,opto,0.6803278688524588,43.68199441364081
82,BS_123,BS_123_5_opto_AC.pickle,101,NCR,opto,0.2575757575757576,146.848739495798
83,BS_123,BS_123_5_opto_AC.pickle,103,NCR,opto,0.5303030303030298,160.84441873915597
84,BS_123,BS_123_5_opto_AC.pickle,131,NCR,opto,0.4365079365079367,256.74114021571637
85,BS_123,BS_123_5_opto_AC.pickle,133,NCR,opto,0.46337817638266054,421.7103161929092
86,BS_123,BS_123_5_opto_AC.pickle,138,CR,opto,2.2873392680514346,-82.54036784388222
87,BS_123,BS_123_5_opto_AC.pickle,144,NCR,opto,1.3918918918918928,1075.315919247957
88,BS_123,BS_123_5_opto_AC.pickle,146,CR,opto,3.589743589743591,73.48310291858661
89,BS_123,BS_123_5_opto_AC.pickle,149,NCR,opto,1.688921859545003,465.29500091215795
90,BS_123,BS_123_5_opto_AC.pickle,153,NCR,opto,1.1374876360039547,282.22044728434554
91,BS_123,BS_123_5_opto_AC.pickle,155,CR,opto,3.1060606060606077,-24.381891079184815
92,BS_123,BS_123_6_opto_AC.pickle,12,NCR,opto,0.8814102564102566,-46.86131386861312
93,BS_123,BS_123_6_opto_AC.pickle,21,NCR,opto,0.7399425287356316,237.8640776699031
94,BS_123,BS_123_6_opto_AC.pickle,33,NCR,opto,0.7686781609195411,100.14378145219244
95,BS_123,BS_123_6_opto_AC.pickle,37,NCR,opto,0.6923714759535656,1277.1763006650012
96,BS_123,BS_123_6_opto_AC.pickle,51,NCR,opto,0.6178160919540227,998.600441965695
97,BS_123,BS_123_6_opto_AC.pickle,52,CR,opto,1.9367816091954029,-84.59178763333067
98,BS_123,BS_123_6_opto_AC.pickle,58,CR,opto,5.639367816091957,96.98302446897425
99,BS_123,BS_123_6_opto_AC.pickle,63,CR,opto,2.091346153846154,587.304706886626
100,BS_123,BS_123_6_opto_AC.pickle,64,CR,opto,1.9346978557504866,-51.57467992189944
101,BS_123,BS_123_6_opto_AC.pickle,69,NCR,opto,0.8133971291866028,-8.490386445840443
102,BS_123,BS_123_6_opto_AC.pickle,71,NCR,opto,1.0780885780885783,-37.83783783783787
103,BS_123,BS_123_6_opto_AC.pickle,80,NCR,opto,0.4022988505747123,790.4330963154505
104,BS_123,BS_123_6_opto_AC.pickle,83,CR,opto,2.6800670016750434,-46.97697368421056
105,BS_123,BS_123_6_opto_AC.pickle,84,NCR,opto,0.48132183908046,168.7107449179442
106,BS_123,BS_123_6_opto_AC.pickle,86,NCR,opto,0.5654761904761906,44.587884806355454
107,BS_123,BS_123_6_opto_AC.pickle,90,NCR,opto,1.4619252873563218,10.651828298887068
108,BS_123,BS_123_7_opto_AC.pickle,0,NCR,opto,1.5256410256410249,81.65902724726273
109,BS_123,BS_123_7_opto_AC.pickle,4,NCR,opto,0.21008403361344546,336.6666666666665
110,BS_123,BS_123_7_opto_AC.pickle,5,NCR,opto,1.5259740259740278,101.41843971631168
111,BS_123,BS_123_7_opto_AC.pickle,8,CR,opto,1.886503067484663,158.1219185685833
112,BS_123,BS_123_7_opto_AC.pickle,30,CR,opto,2.1983640081799583,53.22639394788461
113,BS_123,BS_123_7_opto_AC.pickle,41,NCR,opto,0.966257668711656,-7.522152100465307
114,BS_123,BS_123_7_opto_AC.pickle,59,NCR,opto,0.6441717791411047,288.09523809523785
115,BS_123,BS_123_7_opto_AC.pickle,62,NCR,opto,0.4807692307692308,-42.222222222222214
116,BS_123,BS_123_7_opto_AC.pickle,72,NCR,opto,1.3650306748466259,157.80199449483342
117,BS_123,BS_123_7_opto_AC.pickle,82,NCR,opto,1.7075664621676905,77.86415121564092
118,BS_123,BS_123_7_opto_AC.pickle,94,NCR,opto,0.518018018018018,951.5019762845852
119,BS_123,BS_123_7_opto_AC.pickle,97,NCR,opto,1.4212678936605303,46.582733812949954
