,animal,session,phase,condition,FR modulation
0,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.0798319327731094
1,BS_119,BS_119_2_opto_AC.pickle,1,opto,6.615044247787609
2,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.3340707964601766
3,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.8429203539823007
4,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.669616519174042
5,BS_119,BS_119_2_opto_AC.pickle,1,opto,1.2205014749262542
6,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.216076696165191
7,BS_119,BS_119_2_opto_AC.pickle,1,opto,1.483739837398374
8,BS_119,BS_119_2_opto_AC.pickle,1,opto,1.2592592592592595
9,BS_119,BS_119_2_opto_AC.pickle,1,opto,3.4402654867256626
10,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.7396755162241893
11,BS_119,BS_119_2_opto_AC.pickle,1,opto,7.54424778761062
12,BS_119,BS_119_2_opto_AC.pickle,1,opto,8.297619047619047
13,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.238200589970499
14,BS_119,BS_119_2_opto_AC.pickle,1,opto,7.32300884955752
15,BS_119,BS_119_2_opto_AC.pickle,1,opto,1.6814159292035407
16,BS_119,BS_119_2_opto_AC.pickle,1,opto,0.9259259259259258
17,BS_119,BS_119_2_opto_AC.pickle,1,opto,8.84218289085546
18,BS_119,BS_119_2_opto_AC.pickle,1,opto,3.3997050147492622
19,BS_119,BS_119_2_opto_AC.pickle,1,opto,2.2222222222222223
20,BS_119,BS_119_2_opto_AC.pickle,1,opto,8.845870206489666
21,BS_119,BS_119_3_opto_AC.pickle,1,opto,4.247076023391813
22,BS_119,BS_119_3_opto_AC.pickle,1,opto,8.345238095238098
23,BS_119,BS_119_3_opto_AC.pickle,1,opto,3.3095238095238106
24,BS_119,BS_119_3_opto_AC.pickle,1,opto,1.708333333333335
25,BS_119,BS_119_4_opto_AC.pickle,2,opto,1.426282051282051
26,BS_119,BS_119_5_opto_AC.pickle,2,opto,6.858585858585857
27,BS_119,BS_119_5_opto_AC.pickle,2,opto,5.067567567567569
28,BS_119,BS_119_5_opto_AC.pickle,2,opto,4.449494949494948
29,BS_119,BS_119_5_opto_AC.pickle,2,opto,2.1565656565656566
30,BS_119,BS_119_6_opto_AC.pickle,3,opto,4.421416234887739
