,session,clust,accuracy,NCR_ratio,learning_phase,animal
0,BS_119_2_opto_AC.pickle,[22],0.4965194700923324,0.0,post_early,BS_119_2_opto_AC
1,BS_119_2_opto_AC.pickle,[12],0.4488,0.0,post_early,BS_119_2_opto_AC
2,BS_119_2_opto_AC.pickle,[67],0.4646,1.0,post_early,BS_119_2_opto_AC
3,BS_119_2_opto_AC.pickle,[173],0.6241469289441991,0.0,post_early,BS_119_2_opto_AC
4,BS_119_2_opto_AC.pickle,"[50, 53, 61, 65, 67, 70, 106, 161, 163, 176]",0.575448717948718,0.3,post_early,BS_119_2_opto_AC
5,BS_119_2_opto_AC.pickle,[91],0.5494540345242874,0.0,post_early,BS_119_2_opto_AC
6,BS_119_2_opto_AC.pickle,[91],0.5494540345242874,0.0,post_early,BS_119_2_opto_AC
7,BS_119_2_opto_AC.pickle,[22],0.4965194700923324,0.0,post_early,BS_119_2_opto_AC
8,BS_119_2_opto_AC.pickle,[140],0.5747410678442393,0.0,post_early,BS_119_2_opto_AC
9,BS_119_2_opto_AC.pickle,"[12, 67]",0.4114,0.5,post_early,BS_119_2_opto_AC
10,BS_119_2_opto_AC.pickle,[130],0.5381774387796066,0.0,post_early,BS_119_2_opto_AC
11,BS_119_2_opto_AC.pickle,[189],0.5119068647129666,0.0,post_early,BS_119_2_opto_AC
12,BS_119_2_opto_AC.pickle,[67],0.4646,1.0,post_early,BS_119_2_opto_AC
13,BS_119_2_opto_AC.pickle,[79],0.4817944600562023,0.0,post_early,BS_119_2_opto_AC
14,BS_119_2_opto_AC.pickle,[50],0.4765114411882777,0.0,post_early,BS_119_2_opto_AC
15,BS_119_2_opto_AC.pickle,[140],0.5747410678442393,0.0,post_early,BS_119_2_opto_AC
16,BS_119_2_opto_AC.pickle,[53],0.4771417101565636,0.0,post_early,BS_119_2_opto_AC
17,BS_119_2_opto_AC.pickle,[163],0.5321477318346045,0.0,post_early,BS_119_2_opto_AC
18,BS_119_2_opto_AC.pickle,[189],0.5119068647129666,0.0,post_early,BS_119_2_opto_AC
19,BS_119_2_opto_AC.pickle,[140],0.5747410678442393,0.0,post_early,BS_119_2_opto_AC
20,BS_119_2_opto_AC.pickle,"[53, 173]",0.6242111601766358,0.0,post_early,BS_119_2_opto_AC
