,animal,d',condition
0,AE_368,2.0191250829140333,pre expert opto
1,AE_369,1.7960912299203298,pre expert opto
2,AE_449,2.6354569953176727,pre expert opto
3,AE_363,2.158951383760865,pre expert control
4,AE_435,1.7247973626266138,pre expert control
5,AE_389,1.7857441736629138,pre expert control
6,AE_376,-0.04108734735420619,post expert opto
7,AE_415,-0.07234217402946477,post expert opto
8,AE_469,0.7628633074218598,post expert opto
9,AE_391,2.011821075279187,post expert control
10,AE_447,2.5307517712300798,post expert control
11,AE_488,2.008250732096117,post expert control
