,animal,session,cluster ID,condition,FR modulation
0,AE_363,AE_363_1_opto_control_AC.pickle,77,pre expert control,5.108225108225107
1,AE_363,AE_363_1_opto_control_AC.pickle,78,pre expert control,6.103896103896103
2,AE_363,AE_363_1_opto_control_AC.pickle,100,pre expert control,1.7748917748917743
3,AE_363,AE_363_1_opto_control_AC.pickle,114,pre expert control,1.2554112554112553
4,AE_363,AE_363_1_opto_control_AC.pickle,119,pre expert control,1.0822510822510825
5,AE_363,AE_363_1_opto_control_AC.pickle,125,pre expert control,0.6214689265536724
6,AE_363,AE_363_1_opto_control_AC.pickle,161,pre expert control,12.251082251082243
7,AE_363,AE_363_1_opto_control_AC.pickle,188,pre expert control,15.151515151515152
8,AE_363,AE_363_1_opto_control_AC.pickle,194,pre expert control,10.25974025974026
9,AE_363,AE_363_1_opto_control_AC.pickle,195,pre expert control,3.766233766233767
10,AE_363,AE_363_1_opto_control_AC.pickle,196,pre expert control,8.787878787878787
11,AE_363,AE_363_1_opto_control_AC.pickle,203,pre expert control,
12,AE_363,AE_363_1_opto_control_AC.pickle,232,pre expert control,1.3852813852813854
13,AE_363,AE_363_1_opto_control_AC.pickle,249,pre expert control,2.3376623376623384
14,AE_363,AE_363_1_opto_control_AC.pickle,263,pre expert control,1.3978494623655915
15,AE_363,AE_363_1_opto_control_AC.pickle,275,pre expert control,6.753246753246753
16,AE_363,AE_363_1_opto_control_AC.pickle,276,pre expert control,1.904761904761905
17,AE_363,AE_363_1_opto_control_AC.pickle,278,pre expert control,5.5555555555555545
18,AE_363,AE_363_1_opto_control_AC.pickle,282,pre expert control,3.982683982683983
19,AE_363,AE_363_1_opto_control_AC.pickle,284,pre expert control,6.277056277056278
20,AE_363,AE_363_1_opto_control_AC.pickle,290,pre expert control,1.298701298701299
21,AE_363,AE_363_1_opto_control_AC.pickle,291,pre expert control,0.8465608465608468
22,AE_363,AE_363_1_opto_control_AC.pickle,299,pre expert control,1.7316017316017318
23,AE_363,AE_363_2_opto_control_AC.pickle,5,pre expert control,
